order_id,order_date,customer_id,region,product_category,quantity,unit_price,discount,returned
O0001,2026-01-04,C018,South,Electronics,2.0,799.0,0.0,true
O0002,2026-03-17,C028,North,Electronics,1.0,499.0,0.05,false
O0003,2026-03-13,C013,West,Electronics,2.0,2499.0,0.2,false
O0004,2026-01-21,C028,East,Electronics,3.0,799.0,0.05,false
O0005,2026-01-12,C025,North,Electronics,3.0,1299.0,0.2,false
O0006,2026-02-28,C035, north ,Electronics,4.0,499.0,0.2,false
O0007,2026-03-15,C013,North,Sports,1.0,399.0,0.1,false
O0008,2026-01-13,C025,East,Home,4.0,599.0,0.05,false
O0009,2026-01-27,C018,North,electronics ,2.0,399.0,0.05,false
O0010,2026-02-04,C015,East,Books,1.0,149.0,0.0,false
O0011,2026-02-04,C005,South,Books,3.0,149.0,0.15,false
O0012,2026-01-19,C017,South,Books,2.0,199.0,0.2,false
O0013,2026-02-16,C015,South,Books,4.0,99.0,,false
O0014,2026-03-22,C011,West,Home,1.0,899.0,0.15,true
O0015,2026-03-09,C017,North,Books,1.0,199.0,0.1,false
O0016,2026-02-25,C011,West,Sports,1.0,699.0,0.2,false
O0017,2026-03-22,C020,South,Electronics,2.0,1299.0,0.05,true
O0018,2026-03-18,C021,SOUTH,Electronics,1.0,499.0,0.1,false
O0019,2026-01-08,C016,North,Home,1.0,899.0,0.0,true
O0020,2026-01-17,C031,South,Home,3.0,899.0,0.05,true
O0021,2026-02-09,C026,East,Home,4.0,899.0,0.0,false
O0022,2026-01-09,C022,North,Home,2.0,299.0,0.0,Yes
O0023,2026-01-30,C005,North,Electronics,3.0,499.0,0.2,false
O0024,2026-03-27,C032,South,Sports,2.0,1199.0,0.05,false
O0025,2026-01-25,C007,North,Books,4.0,199.0,0.15,false
O0026,2026-01-07,C007,North,Books,4.0,199.0,0.0,false
O0027,2026-01-25,C035,West,Home,2.0,899.0,0.05,false
O0028,2026-02-01,C005,West,Books,,99.0,0.2,false
O0029,2026-01-31,C011,West,Electronics,4.0,2499.0,0.05,false
O0030,2026-01-22,C025,North,Electronics,4.0,1299.0,0.15,false
O0031,2026-03-31,C032,South,Books,2.0,199.0,0.05,false
O0032,2026-02-10,C004,,Electronics,4.0,799.0,0.0,true
O0033,2026-01-24,C005,North,Electronics,2.0,2499.0,0.0,true
O0034,2026-03-16,C003,North,Home,4.0,599.0,0.1,false
O0035,2026-01-31,C017,West,Sports,2.0,699.0,0.15,false
O0036,2026-01-02,C030,North,Electronics,1.0,799.0,0.2,false
O0037,2026-02-14,C005,South,Home,3.0,599.0,0.05,false
O0038,2026-03-20,C034,North,Sports,3.0,199.0,0.05,false
O0039,2026-01-14,C010,East,Electronics,3.0,799.0,0.1,false
O0040,2026-03-06,C032,East,Sports,1.0,199.0,unknown,false
O0041,2026-01-01,C022,South,Electronics,3.0,799.0,0.15,true
O0042,2026-03-13,C001,North,Books,1.0,149.0,0.2,false
O0043,2026-03-16,C010,West,Sports,2.0,199.0,0.1,false
O0044,2026-02-15,C014,South,Electronics,1.0,1299.0,0.2,false
O0045,2026-01-31,C011,South,HOME,4.0,149.0,0.05,false
O0046,2026-03-27,C016,East,Books,2.0,99.0,0.15,false
O0047,2026-01-29,C013,West,Books,3.0,199.0,0.05,false
O0048,2026-03-26,C013,West,Electronics,3.0,1299.0,0.0,false
O0049,2026-03-24,C033,West,Sports,3.0,199.0,0.0,false
O0050,2026-03-16,C017,North,Home,1.0,899.0,0.1,false
O0051,2026-03-19,C033,North,Books,4.0,149.0,0.1,false
O0052,2026-01-01,C034,South,Books,3.0,249.0,0.0,false
O0053,2026-03-26,C008,East,Sports,3.0,1199.0,0.1,no
O0054,2026-03-12,C009,South,Sports,4.0,1199.0,0.05,true
O0055,2026-02-21,C001,East,Sports,3.0,399.0,0.15,true
O0056,2026-03-01,C029,West,Sports,2.0,1199.0,0.05,false
O0057,2026-03-07,C022,North,Sports,2.0,699.0,0.05,false
O0058,2026-01-04,C003,South,Home,4.0,149.0,0.15,false
O0059,2026-03-31,C025,West,Home,4.0,299.0,0.05,false
O0060,2026-02-24,C015,South,Electronics,4.0,499.0,0.2,false
O0061,2026-02-28,C009,West,Electronics,3.0,2499.0,0.2,true
O0062,2026-03-12,C029,South,Books,4.0,,0.1,false
O0063,2026-03-08,C032,South,Sports,3.0,1199.0,0.0,false
O0064,2026-02-04,C022,East,Home,1.0,299.0,0.05,false
O0065,2026-03-30,C010,South,Books,1.0,249.0,0.15,false
O0066,2026-02-23,C004,South,Books,4.0,249.0,0.2,false
O0067,2026-03-03,C001,East,Books,3.0,249.0,0.15,true
O0068,2026-03-04,C015,East,Home,4.0,899.0,0.0,false
O0069,2026-03-27,C026,South,Sports,4.0,399.0,0.2,
O0070,2026-02-20,C002,North,Electronics,4.0,799.0,0.15,false
O0071,2026-02-03,C025,East,Electronics,2.0,2499.0,0.1,false
O0072,2026-02-05,C027,East,Books,1.0,249.0,0.0,true
O0073,2026-02-14,C015,North,Electronics,1.0,499.0,0.05,false
O0074,2026-03-21,C010,South,Electronics,2.0,2499.0,0.0,true
O0075,2026-03-01,C017,East,Home,2.0,149.0,0.05,false
O0076,2026-03-16,C002,East,Electronics,4.0,2499.0,0.05,false
O0077,2026-01-14,C020,North,Home,1.0,599.0,0.2,false
O0078,2026-01-09,C033,East,Sports,1.0,1199.0,0.15,false
O0079,2026-02-16,C030,South,Books,4.0,149.0,0.2,false
O0080,2026-03-01,C028,East,Books,3.0,149.0,0.0,false
